t,N45,N32,N35,N36
0,0,0,0,0
15,34.77555072,43.78039688,35.57009597,51.72584938
30,49.20978942,64.43857337,56.07287449,69.33826908
45,59.40645346,73.84069216,62.71705867,78.07826683
60,68.54372383,81.12402362,70.39766275,84.43462882
75,72.9137227,82.58068991,72.9137227,88.67220349
90,77.01887316,85.89129511,75.56220687,92.38008132
105,80.46190257,88.67220349,78.13765182,95.69068653
120,83.77250778,90.79099082,78.34311524,97.54462544
150,86.95068878,91.05583924,80.8591752,98.07432227
180,89.20190032,90.5261424,80.99159941,97.94189807
210,90.12886978,92.51250553,80.32947837,98.4715949
